종목명,티커,매매상태,잔여비중 %,최신가,BUY가,전략수익률 %,현재손절가,3R 목표가,트레일링 기준,포착일,최신일,수익률 %,최대수익 %,최대낙폭 %,3R 달성일,1차매도가,종결일,종결가,종결사유,실현수익률 %,RS,MTT,시장상태,EARLY 상태,최초 EARLY일,최초 EARLY가,EARLY후 상승률 %,EARLY후 거래일,최초손절가,초과수익 %p,매수검토,매수품질,종합점수,섹터,섹터점수,섹터내순위,주봉상태,ATR20 %,기관적합,포착RS,등급근거,등급룰 버전,룰 버전,매도룰 버전
미원상사,002840,OPEN,100.0,129200.0,131800.0,-1.9726858877086473,121256.0,163432.0,INITIAL,2026-08-24,2026-09-09,-1.9726858877086473,5.31107738998482,-2.5796661608497695,,,,,,0.0,20.05156950672646,False,COUNTERTREND,FRESH,2026-08-24,131800.0,-1.9726858877086473,12,121256.0,-7.268820253152075,대기,B,57.76,화학,62.2,41.0,RECOVERING,4.613050075872534,False,50.0,섹터 62 / 대장 41위 / 주봉 RECOVERING / ATR 4.6%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
팬오션,028670,CLOSED,0.0,6010.0,6320.0,-11.234177215189877,5814.400000000001,7836.799999999998,INITIAL,2026-08-24,2026-09-09,-4.905063291139244,0.9493670886076,-12.816455696202533,,,2026-08-26,5610.0,STOP_LOSS,-11.234177215189877,41.360986547085204,True,COUNTERTREND,FRESH,2026-08-04,5640.0,6.560283687943258,25,5814.400000000001,-10.201197656582671,대기,B,72.7,운송·창고,48.6,1.0,STRONG,5.9770569620253164,True,50.0,섹터 49 / 대장 1위 / 주봉 STRONG / ATR 6.0%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
세아홀딩스,058650,OPEN,100.0,132600.0,132600.0,0.0,121992.0,164424.0,INITIAL,2026-08-24,2026-09-09,0.0,4.2232277526395245,-1.3574660633484115,,,,,,0.0,21.864349775784753,False,COUNTERTREND,FRESH,2026-08-24,132600.0,0.0,12,121992.0,-5.296134365443428,대기,C,48.3,금속,36.2,29.0,RECOVERING,3.4389140271493215,False,50.0,섹터 36 / 대장 29위 / 주봉 RECOVERING / ATR 3.4%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
아세아제지,002310,OPEN,100.0,8650.0,8560.0,1.0514018691588856,7875.200000000001,10614.399999999998,INITIAL,2026-08-25,2026-09-09,1.0514018691588856,4.90654205607477,-2.453271028037385,,,,,,0.0,26.821748878923767,False,COUNTERTREND,FRESH,2026-08-25,8560.0,1.0514018691588856,11,7875.200000000001,-3.5298217876927884,대기,B,61.44,종이·목재,82.4,7.0,RECOVERING,3.6039719626168227,False,50.0,섹터 82 / 대장 7위 / 주봉 RECOVERING / ATR 3.6%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
GS,078930,OPEN,100.0,122100.0,121800.0,0.24630541871921707,112056.0,151032.0,INITIAL,2026-08-25,2026-09-09,0.24630541871921707,6.075533661740562,-2.3809523809523836,,,,,,0.0,88.08632286995515,True,COUNTERTREND,NO_EARLY,,,,,112056.0,-4.334918238132457,대기,B,72.69,기타금융,47.0,1.0,STRONG,7.116174055829229,True,50.0,섹터 47 / 대장 1위 / 주봉 STRONG / ATR 7.1%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
오킨스전자,080580,OPEN,100.0,20800.0,19400.0,7.216494845360821,17848.0,24056.0,INITIAL,2026-08-25,2026-09-09,7.216494845360821,8.247422680412363,-3.6082474226804107,,,,,,0.0,89.52914798206278,False,COUNTERTREND,FRESH,2026-08-25,19400.0,7.216494845360821,11,17848.0,6.827206324536306,대기,C,47.61,전기·전자,36.199999999999996,18.0,RECOVERING,8.932989690721648,False,50.0,섹터 36 / 대장 18위 / 주봉 RECOVERING / ATR 8.9%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
아모레퍼시픽,090430,OPEN,100.0,138300.0,143300.0,-3.48918353105373,131836.0,177692.0,INITIAL,2026-08-25,2026-09-09,-3.48918353105373,5.094207955338459,-3.48918353105373,,,,,,0.0,32.630044843049326,True,COUNTERTREND,FRESH,2026-08-19,133100.0,3.9068369646882095,15,131836.0,-8.070407187905404,대기,B,67.25,화학,71.8,16.0,RECOVERING,4.481856245638521,True,50.0,섹터 72 / 대장 16위 / 주봉 RECOVERING / ATR 4.5%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
아이마켓코리아,122900,OPEN,100.0,8040.0,8350.0,-3.7125748502993994,7682.0,10354.0,INITIAL,2026-08-25,2026-09-09,-3.7125748502993994,0.0,-3.7125748502993994,,,,,,0.0,24.934977578475333,False,COUNTERTREND,FRESH,2026-08-07,7990.0,0.6257822277847325,22,7682.0,-8.293798507151074,대기,B,55.77,유통,38.2,12.0,RECOVERING,2.2934131736526946,False,50.0,섹터 38 / 대장 12위 / 주봉 RECOVERING / ATR 2.3%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
제닉,123330,CLOSED,0.0,26950.0,32200.0,-11.956521739130432,29624.0,39928.0,INITIAL,2026-08-25,2026-09-09,-16.30434782608695,14.596273291925478,-16.30434782608695,,,2026-09-07,28350.0,STOP_LOSS,-11.956521739130432,77.94955156950672,False,COUNTERTREND,FRESH,2026-08-10,29600.0,-8.952702702702698,21,29624.0,-16.693636346911465,대기,A,71.89,화학,71.8,4.0,STRONG,9.619565217391305,False,50.0,섹터 72 / 대장 4위 / 주봉 STRONG / ATR 9.6%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
한국콜마,161890,OPEN,100.0,140300.0,150000.0,-6.466666666666665,138000.0,186000.0,INITIAL,2026-08-25,2026-09-09,-6.466666666666665,7.800000000000007,-6.466666666666665,,,,,,0.0,85.08968609865471,True,COUNTERTREND,LATE,2026-08-04,101300.0,38.499506416584396,25,138000.0,-11.047890323518338,우선검토,S,80.09,화학,71.8,2.0,STRONG,6.2,True,50.0,섹터 72 / 대장 2위 / 주봉 STRONG / ATR 6.2%,kangto_rank_v1,kangto_core_v3,kangto_exit_v2
